"Time (s) Run #4","Position (m) Run #4"
0.000,0.89
0.010,0.89
0.020,0.89
0.030,0.89
0.040,0.89
0.050,0.89
0.060,0.89
0.070,0.89
0.080,0.89
0.090,0.89
0.100,0.89
0.110,0.89
0.120,0.90
0.130,0.90
0.140,0.90
0.150,0.90
0.160,0.90
0.170,0.90
0.180,0.90
0.190,0.90
0.200,0.90
0.210,0.90
0.220,0.90
0.230,0.90
0.240,0.90
0.250,0.90
0.260,0.90
0.270,0.89
0.280,0.89
0.290,0.89
0.300,0.89
0.310,0.88
0.320,0.88
0.330,0.87
0.340,0.86
0.350,0.85
0.360,0.84
0.370,0.82
0.380,0.80
0.390,0.78
0.400,0.76
0.410,0.74
0.420,0.72
0.430,0.70
0.440,0.68
0.450,0.66
0.460,0.64
0.470,0.63
0.480,0.61
0.490,0.59
0.500,0.58
0.510,0.56
0.520,0.55
0.530,0.54
0.540,0.52
0.550,0.51
0.560,0.50
0.570,0.49
0.580,0.48
0.590,0.47
0.600,0.46
0.610,0.45
0.620,0.44
0.630,0.44
0.640,0.43
0.650,0.42
0.660,0.42
0.670,0.41
0.680,0.41
0.690,0.40
0.700,0.40
0.710,0.40
0.720,0.40
0.730,0.40
0.740,0.40
0.750,0.40
0.760,0.40
0.770,0.40
0.780,0.40
0.790,0.40
0.800,0.41
0.810,0.41
0.820,0.41
0.830,0.42
0.840,0.42
0.850,0.43
0.860,0.44
0.870,0.45
0.880,0.45
0.890,0.46
0.900,0.47
0.910,0.48
0.920,0.49
0.930,0.50
0.940,0.52
0.950,0.53
0.960,0.54
0.970,0.55
0.980,0.57
0.990,0.58
1.000,0.60
1.010,0.62
1.020,0.63
1.030,0.65
1.040,0.66
1.050,0.68
1.060,0.69
1.070,0.71
1.080,0.72
1.090,0.73
1.100,0.74
1.110,0.76
1.120,0.77
1.130,0.78
1.140,0.79
1.150,0.80
1.160,0.81
1.170,0.82
1.180,0.83
1.190,0.84
1.200,0.85
1.210,0.86
1.220,0.87
1.230,0.88
1.240,0.88
1.250,0.89
1.260,0.89
1.270,0.90
1.280,0.90
1.290,0.90
1.300,0.90
1.310,0.90
1.320,0.90
1.330,0.89
1.340,0.89
1.350,0.88
1.360,0.87
1.370,0.85
1.380,0.83
1.390,0.82
1.400,0.79
1.410,0.77
1.420,0.74
1.430,0.71
1.440,0.69
1.450,0.66
1.460,0.64
1.470,0.61
1.480,0.59
1.490,0.56
1.500,0.54
1.510,0.52
1.520,0.50
1.530,0.48
1.540,0.46
1.550,0.44
1.560,0.42
1.570,0.40
1.580,0.38
1.590,0.37
1.600,0.35
1.610,0.34
1.620,0.32
1.630,0.31
1.640,0.29
1.650,0.28
1.660,0.27
1.670,0.25
1.680,0.24
1.690,0.23
1.700,0.22
1.710,0.22
1.720,0.21
1.730,0.20
1.740,0.19
1.750,0.18
1.760,0.18
1.770,0.17
1.780,0.17
1.790,0.17
1.800,0.16
1.810,0.16
1.820,0.16
1.830,0.15
1.840,0.16
1.850,0.15
1.860,0.15
1.870,0.15
1.880,0.16
1.890,0.15
1.900,0.16
1.910,0.16
1.920,0.16
