"Time (s) Run #6","Position (m) Run #6"
0.000,0.90
0.010,0.90
0.020,0.90
0.030,0.90
0.040,0.90
0.050,0.90
0.060,0.90
0.070,0.90
0.080,0.90
0.090,0.90
0.100,0.90
0.110,0.90
0.120,0.90
0.130,0.90
0.140,0.90
0.150,0.90
0.160,0.90
0.170,0.90
0.180,0.90
0.190,0.90
0.200,0.90
0.210,0.90
0.220,0.90
0.230,0.90
0.240,0.90
0.250,0.90
0.260,0.90
0.270,0.90
0.280,0.90
0.290,0.90
0.300,0.90
0.310,0.90
0.320,0.90
0.330,0.90
0.340,0.90
0.350,0.90
0.360,0.90
0.370,0.90
0.380,0.90
0.390,0.91
0.400,0.91
0.410,0.91
0.420,0.91
0.430,0.91
0.440,0.91
0.450,0.91
0.460,0.91
0.470,0.91
0.480,0.91
0.490,0.91
0.500,0.91
0.510,0.92
0.520,0.92
0.530,0.92
0.540,0.92
0.550,0.92
0.560,0.92
0.570,0.91
0.580,0.91
0.590,0.91
0.600,0.91
0.610,0.90
0.620,0.89
0.630,0.88
0.640,0.87
0.650,0.86
0.660,0.85
0.670,0.83
0.680,0.81
0.690,0.79
0.700,0.77
0.710,0.75
0.720,0.73
0.730,0.70
0.740,0.68
0.750,0.66
0.760,0.64
0.770,0.62
0.780,0.60
0.790,0.58
0.800,0.56
0.810,0.54
0.820,0.53
0.830,0.51
0.840,0.49
0.850,0.48
0.860,0.46
0.870,0.45
0.880,0.43
0.890,0.42
0.900,0.40
0.910,0.39
0.920,0.38
0.930,0.37
0.940,0.36
0.950,0.34
0.960,0.33
0.970,0.32
0.980,0.31
0.990,0.30
1.000,0.30
1.010,0.29
1.020,0.28
1.030,0.27
1.040,0.27
1.050,0.26
1.060,0.26
1.070,0.25
1.080,0.25
1.090,0.25
1.100,0.25
1.110,0.25
1.120,0.25
1.130,0.24
1.140,0.35
1.150,0.35
1.160,0.36
1.170,0.36
1.180,0.36
1.190,0.36
1.200,0.36
1.210,0.36
1.220,0.37
1.230,0.25
1.240,0.25
1.250,0.25
1.260,0.25
1.270,0.25
1.280,0.25
1.290,0.25
1.300,0.25
1.310,0.26
1.320,0.26
1.330,0.27
1.340,0.28
1.350,0.28
1.360,0.29
1.370,0.30
1.380,0.31
1.390,0.32
1.400,0.33
1.410,0.34
1.420,0.35
1.430,0.36
1.440,0.37
1.450,0.38
1.460,0.40
1.470,0.41
1.480,0.42
1.490,0.44
1.500,0.45
1.510,0.47
1.520,0.48
1.530,0.50
1.540,0.51
1.550,0.53
1.560,0.55
1.570,0.57
1.580,0.59
1.590,0.61
1.600,0.63
1.610,0.64
1.620,0.66
1.630,0.68
1.640,0.70
1.650,0.72
1.660,0.74
1.670,0.74
1.680,0.77
1.690,1.45
1.700,0.88
1.710,1.41
1.720,1.00
1.730,1.00
1.740,1.01
1.750,1.02
1.760,1.02
1.770,1.04
1.780,1.06
1.790,1.07
1.800,1.02
1.810,1.02
1.820,1.02
1.830,1.01
1.840,1.01
1.850,1.01
1.860,1.01
1.870,1.02
1.880,1.02
1.890,1.02
1.900,1.02
1.910,1.01
1.920,1.01
1.930,1.01
1.940,1.01
1.950,0.95
1.960,0.93
1.970,0.92
1.980,0.90
1.990,0.97
2.000,0.97
2.010,0.85
2.020,0.83
2.030,0.82
2.040,0.80
2.050,0.78
2.060,0.75
2.070,0.73
