"Time (s) Run #2","Position (m) Run #2"
0.000,0.98
0.010,0.98
0.020,0.98
0.030,0.98
0.040,0.98
0.050,0.98
0.060,0.98
0.070,0.98
0.080,0.98
0.090,0.98
0.100,0.98
0.110,0.98
0.120,0.98
0.130,0.98
0.140,0.98
0.150,0.98
0.160,0.98
0.170,0.98
0.180,0.98
0.190,0.98
0.200,0.98
0.210,0.98
0.220,0.98
0.230,0.98
0.240,0.98
0.250,0.98
0.260,0.98
0.270,0.98
0.280,0.98
0.290,0.98
0.300,0.98
0.310,0.98
0.320,0.98
0.330,0.98
0.340,0.98
0.350,0.98
0.360,0.98
0.370,0.98
0.380,0.98
0.390,0.98
0.400,0.98
0.410,0.98
0.420,0.98
0.430,0.98
0.440,0.98
0.450,0.98
0.460,0.98
0.470,0.98
0.480,0.98
0.490,0.98
0.500,0.98
0.510,0.98
0.520,0.98
0.530,0.98
0.540,0.98
0.550,0.98
0.560,0.98
0.570,0.98
0.580,0.97
0.590,0.98
0.600,0.97
0.610,0.97
0.620,0.98
0.630,0.97
0.640,0.96
0.650,0.96
0.660,0.96
0.670,0.95
0.680,0.95
0.690,0.94
0.700,0.94
0.710,0.94
0.720,0.93
0.730,0.93
0.740,0.92
0.750,0.92
0.760,0.91
0.770,0.90
0.780,0.90
0.790,0.89
0.800,0.88
0.810,0.87
0.820,0.86
0.830,0.85
0.840,0.84
0.850,0.83
0.860,0.82
0.870,0.81
0.880,0.80
0.890,0.79
0.900,0.78
0.910,0.77
0.920,0.76
0.930,0.75
0.940,0.73
0.950,0.72
0.960,0.71
0.970,0.70
0.980,0.69
0.990,0.68
1.000,0.67
1.010,0.66
1.020,0.65
1.030,0.65
1.040,0.64
1.050,0.63
1.060,0.62
1.070,0.61
1.080,0.60
1.090,0.59
1.100,0.58
1.110,0.57
1.120,0.56
1.130,0.55
1.140,0.54
1.150,0.54
1.160,0.53
1.170,0.52
1.180,0.51
1.190,0.50
1.200,0.49
1.210,0.49
1.220,0.48
1.230,0.47
1.240,0.46
1.250,0.45
1.260,0.45
1.270,0.44
1.280,0.43
1.290,0.42
1.300,0.42
1.310,0.41
