"Time (s) Run #5","Position (m) Run #5"
0.000,0.67
0.010,0.67
0.020,0.67
0.030,0.67
0.040,0.67
0.050,0.67
0.060,0.67
0.070,0.67
0.080,0.67
0.090,0.66
0.100,0.66
0.110,0.66
0.120,0.66
0.130,0.66
0.140,0.66
0.150,0.66
0.160,0.66
0.170,0.65
0.180,0.65
0.190,0.65
0.200,0.65
0.210,0.65
0.220,0.64
0.230,0.64
0.240,0.64
0.250,0.63
0.260,0.63
0.270,0.63
0.280,0.63
0.290,0.62
0.300,0.62
0.310,0.62
0.320,0.61
0.330,0.61
0.340,0.61
0.350,0.60
0.360,0.60
0.370,0.60
0.380,0.60
0.390,0.59
0.400,0.59
0.410,0.59
0.420,0.59
0.430,0.59
0.440,0.59
0.450,0.59
0.460,0.59
0.470,0.59
0.480,0.59
0.490,0.59
0.500,0.59
0.510,0.59
0.520,0.59
0.530,0.59
0.540,0.59
0.550,0.59
0.560,0.59
0.570,0.59
0.580,0.59
0.590,0.59
0.600,0.59
0.610,0.59
0.620,0.59
0.630,0.59
0.640,0.59
0.650,0.59
0.660,0.59
0.670,0.59
0.680,0.59
0.690,0.59
0.700,0.59
0.710,0.59
0.720,0.59
0.730,0.59
0.740,0.59
0.750,0.59
0.760,0.59
0.770,0.59
0.780,0.59
0.790,0.59
0.800,0.59
0.810,0.59
0.820,0.59
0.830,0.60
0.840,0.60
0.850,0.60
0.860,0.61
0.870,0.61
0.880,0.61
0.890,0.62
0.900,0.62
0.910,0.62
0.920,0.63
0.930,0.63
0.940,0.64
0.950,0.64
0.960,0.64
0.970,0.65
0.980,0.65
0.990,0.66
1.000,0.66
1.010,0.66
1.020,0.67
1.030,0.67
1.040,0.68
1.050,0.68
1.060,0.69
1.070,0.69
1.080,0.70
1.090,0.70
1.100,0.71
1.110,0.71
1.120,0.72
1.130,0.72
1.140,0.73
1.150,0.73
1.160,0.74
1.170,0.74
1.180,0.75
1.190,0.75
1.200,0.76
1.210,0.76
1.220,0.77
1.230,0.77
1.240,0.78
1.250,0.78
1.260,0.79
1.270,0.79
1.280,0.80
1.290,0.80
1.300,0.81
1.310,0.81
1.320,0.81
1.330,0.82
1.340,0.82
1.350,0.82
1.360,0.82
1.370,0.83
1.380,0.83
