"Time (s) Run #1","Position (m) Run #1"
0.000,0.96
0.010,0.96
0.020,0.96
0.030,0.96
0.040,0.96
0.050,0.96
0.060,0.94
0.070,0.94
0.080,0.94
0.090,0.96
0.100,0.96
0.110,0.96
0.120,0.96
0.130,0.96
0.140,0.96
0.150,0.96
0.160,0.96
0.170,0.96
0.180,0.96
0.190,0.96
0.200,0.96
0.210,0.96
0.220,0.96
0.230,0.96
0.240,0.96
0.250,0.96
0.260,0.96
0.270,0.96
0.280,0.96
0.290,0.96
0.300,0.96
0.310,0.96
0.320,0.96
0.330,0.96
0.340,0.96
0.350,0.96
0.360,0.96
0.370,0.96
0.380,0.96
0.390,0.96
0.400,0.96
0.410,0.96
0.420,0.95
0.430,0.95
0.440,0.95
0.450,0.95
0.460,0.95
0.470,0.94
0.480,0.94
0.490,0.93
0.500,0.93
0.510,0.93
0.520,0.92
0.530,0.92
0.540,0.91
0.550,0.91
0.560,0.91
0.570,0.90
0.580,0.90
0.590,0.90
0.600,0.89
0.610,0.89
0.620,0.89
0.630,0.88
0.640,0.88
0.650,0.88
0.660,0.88
0.670,0.88
0.680,0.87
0.690,0.87
0.700,0.87
0.710,0.87
0.720,0.87
0.730,0.87
0.740,0.87
0.750,0.86
0.760,0.86
0.770,0.86
0.780,0.86
0.790,0.86
0.800,0.86
0.810,0.86
0.820,0.86
0.830,0.86
0.840,0.86
0.850,0.86
0.860,0.87
0.870,0.87
0.880,0.87
0.890,0.87
0.900,0.87
0.910,0.87
0.920,0.87
0.930,0.87
0.940,0.87
0.950,0.87
0.960,0.87
0.970,0.87
0.980,0.87
0.990,0.87
1.000,0.87
1.010,0.86
1.020,0.85
1.030,0.85
1.040,0.84
1.050,0.83
1.060,0.81
1.070,0.80
1.080,0.78
1.090,0.77
1.100,0.75
1.110,0.74
1.120,0.72
1.130,0.71
1.140,0.69
1.150,0.68
1.160,0.66
1.170,0.65
1.180,0.63
1.190,0.62
1.200,0.61
1.210,0.59
1.220,0.58
1.230,0.57
1.240,0.55
1.250,0.54
1.260,0.53
1.270,0.52
1.280,0.51
1.290,0.50
1.300,0.49
1.310,0.48
1.320,0.47
1.330,0.46
1.340,0.45
1.350,0.44
1.360,0.43
1.370,0.42
1.380,0.41
1.390,0.40
1.400,0.39
1.410,0.38
1.420,0.38
1.430,0.37
1.440,0.36
1.450,0.35
1.460,0.35
1.470,0.34
1.480,0.33
